========================================================================
HEALTH FULL AUDIT — 236 non-timing Qs (EN + Hinglish + Hindi)
========================================================================
[  1] OK   | HN | health  | overall_vitality         | How is my overall health in the chart?
[  2] OK   | EN | health  | overall_vitality         | Is my vitality strong?
[  3] OK   | HN | health  | overall_vitality         | Meri sehat kaisi hai chart me?
[  4] OK   | HN | health  | overall_vitality         | Meri tabiyat strong hai ya weak?
[  5] OK   | HN | health  | overall_vitality         | Stamina aur energy level kaisa hai?
[  6] OK   | HI | health  | overall_vitality         | \u0915\u094d\u092f\u093e \u092e\u0947\u0930\u0940 \u0938\u0947\u0939\u0924 \u0905\u091a\u094d\u091b\u0940 \u0939\u0948?
[  7] OK   | HI | health  | overall_vitality         | \u092e\u0947\u0930\u0940 \u090a\u0930\u094d\u091c\u093e \u0914\u0930 \u0936\u0930\u0940\u0930 \u0915\u0940 \u0924\u093e\u0915\u0924 \u0915\u0948\u0938\u0940 \u0939\u0948?
[  8] OK   | HN | health  | overall_vitality         | Body strong hai ya kamzor?
[  9] OK   | HN | health  | chronic_tendency         | Chronic health issue ki tendency hai?
[ 10] OK   | HN | health  | chronic_tendency         | Long term illness risk in my chart?
[ 11] OK   | HN | health  | chronic_tendency         | Purani bimari ki tendency chart me?
[ 12] OK   | HN | health  | chronic_tendency         | Genetic disease history chart se?
[ 13] OK   | HN | health  | chronic_tendency         | Life long health problem rehta hai kya?
[ 14] OK   | HI | health  | chronic_tendency         | \u0932\u0902\u092c\u0940 \u092c\u0940\u092e\u093e\u0930\u0940 \u0915\u0940 \u092a\u094d\u0930\u0935\u0943\u0924\u094d\u0924\u093f \u0939\u0948?
[ 15] OK   | HN | health  | chronic_tendency         | Hamesha health issue reh jata hai?
[ 16] OK   | HN | health  | mental_stress            | Stress and anxiety in my chart?
[ 17] OK   | HN | health  | mental_stress            | Depression tendency chart me?
[ 18] OK   | HN | health  | mental_stress            | Neend nahi aati insomnia chart?
[ 19] OK   | HN | health  | mental_stress            | Man bechain rehta hai?
[ 20] OK   | HN | health  | mental_stress            | Mental peace weak hai?
[ 21] OK   | HI | health  | mental_stress            | \u0915\u094d\u092f\u093e \u092e\u0947\u0930\u093e \u092e\u093e\u0928\u0938\u093f\u0915 \u0924\u0928\u093e\u0935 \u091c\u094d\u092f\u093e\u0926\u093e \u0939\u0948?
[ 22] OK   | HN | health  | mental_stress            | Tension aur ghabrahat chart me?
[ 23] OK   | HN | health  | mental_stress            | Sleep problem hai kya?
[ 24] OK   | HN | health  | surgery_risk_tone        | Surgery risk high hai chart me?
