========================================================================
MR FULL AUDIT — 220 non-timing Qs (EN + Hinglish + Hindi)
========================================================================
[  1] OK   | HN | mr      | dating_courtship         | kya mujhe sachcha pyaar milega?
[  2] OK   | HN | mr      | secret_relationship      | kya multiple relationships honge?
[  3] OK   | HN | mr      | secret_relationship      | kya secret affair chal raha hai?
[  4] OK   | HN | mr      | long_distance            | online relationship chalega kya?
[  5] OK   | HN | mr      | dating_courtship         | friend se lover ban sakta hai kya?
[  6] OK   | HN | mr      | loyalty_trust            | partner loyal rahega kya?
[  7] OK   | HN | mr      | loyalty_trust            | commitment issues honge kya?
[  8] OK   | HN | mr      | emotional_attachment     | meri emotional needs poori hongi?
[  9] OK   | HN | mr      | emotional_attachment     | mera attachment style kaisa hai?
[ 10] OK   | EN | mr      | dating_courtship         | first impression kaisa rahega?
[ 11] OK   | HN | mr      | dating_courtship         | mera flirting style kaisa hai?
[ 12] OK   | HN | mr      | dating_courtship         | dating success milegi kya?
[ 13] OK   | HN | mr      | dating_courtship         | mera attraction pattern kya hai?
[ 14] OK   | HN | mr      | dating_courtship         | relationship me red flags kya hain?
[ 15] OK   | HN | mr      | dating_courtship         | relationship me green flags kya hain?
[ 16] OK   | EN | mr      | love_vs_arranged         | love marriage hogi ya arranged?
[ 17] OK   | HN | mr      | love_vs_arranged         | love cum arrange hoga kya?
[ 18] OK   | EN | mr      | family_approval          | inter-caste marriage hogi?
[ 19] OK   | HN | mr      | family_approval          | inter-religion shaadi?
[ 20] OK   | HN | mr      | family_approval          | court marriage hogi kya?
[ 21] OK   | EN | mr      | family_approval          | family kitna involve hoga?
[ 22] OK   | HN | mr      | spouse_appearance        | partner ki height kaisi hogi?
[ 23] OK   | EN | mr      | spouse_appearance        | spouse ka complexion kaisa hoga?
[ 24] OK   | EN | mr      | spouse_appearance        | wife ka face shape kaisa hoga?
[ 25] OK   | HN | mr      | spouse_appearance        | partner ki aankhen kaisi hongi?
[ 26] OK   | HN | mr      | spouse_appearance        | husband ke baal kaisi honge?
[ 27] OK   | EN | mr      | spouse_appearance        | spouse ka body type kaisa hoga?
[ 28] OK   | HN | mr      | spouse_appearance        | partner dressing style kaisi hogi?
[ 29] OK   | HN | mr      | spouse_appearance        | spouse ki awaaz kaisi hogi?
[ 30] OK   | EN | mr      | spouse_appearance        | partner ka aura kaisa hoga?
[ 31] OK   | EN | mr      | spouse_appearance        | spouse kitna attractive hoga?
[ 32] OK   | EN | mr      | partner_nature           | partner introvert hoga ya extrovert?
[ 33] OK   | HN | mr      | partner_nature           | partner romantic hoga kya?
[ 34] OK   | HN | mr      | partner_nature           | partner caring hoga kya?
[ 35] OK   | EN | mr      | partner_nature           | partner emotionally expressive hoga?
[ 36] OK   | EN | mr      | partner_nature           | partner practical hoga ya emotional?
[ 37] OK   | HN | mr      | partner_nature           | partner ambitious hoga kya?
[ 38] OK   | EN | mr      | loyalty_trust            | partner loyal hoga?
[ 39] OK   | HN | mr      | partner_nature           | partner spiritual hoga kya?
[ 40] OK   | EN | mr      | partner_nature           | partner dominant hoga ya cooperative?
[ 41] OK   | HN | mr      | partner_nature           | partner humorous hoga kya?
[ 42] OK   | HN | mr      | partner_nature           | partner honest hoga kya?
[ 43] OK   | HN | mr      | obsession                | partner jealous hoga kya?
[ 44] OK   | HN | mr      | spouse_profession        | wife ka profession kya hoga?
[ 45] OK   | EN | mr      | spouse_profession        | husband business karega ya job?
[ 46] OK   | EN | mr      | spouse_profession        | spouse government job karega?
[ 47] OK   | EN | mr      | spouse_profession        | partner IT field me hoga?
[ 48] OK   | HN | mr      | spouse_profession        | spouse doctor ban sakta hai?
[ 49] OK   | EN | mr      | spouse_wealth            | partner rich hoga?
[ 50] OK   | EN | mr      | spouse_wealth            | wife middle class family se hogi?
[ 51] OK   | EN | mr      | spouse_wealth            | spouse wealthy family se hoga?
[ 52] OK   | EN | mr      | spouse_wealth            | partner self made hoga?
[ 53] OK   | HN | mr      | spouse_wealth            | spouse saving habits kaisi hongi?
